수집시각,순위,제목,저자,출판사,링크,이미지URL,이전순위,순위변동
2026-04-13 17:51,1,ONE PIECE magazine 21 (ジャンプコミックス),,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=390594676,https://image.aladin.co.kr/product/39059/46/cover500/4081024413g_1.jpg,1,-
2026-04-13 17:51,2,프로젝트 헤일메리,"앤디 위어, 강동혁",알에이치코리아(RHK),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=270454373,https://image.aladin.co.kr/product/27045/43/cover500/k692135851_3.jpg,13,↑11
2026-04-13 17:51,3,[SET] 큐더블유이알 - 미니 4집 CEREMONY [2종 세트],,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=390616030,https://image.aladin.co.kr/product/39061/60/cover500/c542939300_1.jpg,3,-
2026-04-13 17:51,4,박지훈 - 싱글 1집 RE:FLECT (PLVE Ver.),,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=390613670,https://image.aladin.co.kr/product/39061/36/cover500/c572939300_1.jpg,7,↑3
2026-04-13 17:51,5,2026 제17회 젊은작가상 수상작품집,"김채원, 길란, 남의현, 서장원, 위수정, 이미상, 함윤이",문학동네,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=389894398,https://image.aladin.co.kr/product/38989/43/cover500/k232137415_1.jpg,80,↑75
2026-04-13 17:51,6,사랑이 있으니 살아집디다,"유시민, 김세라",은빛,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=388509769,https://image.aladin.co.kr/product/38850/97/cover500/k992137800_2.jpg,5,↓1
2026-04-13 17:51,7,[SET] 엔시티 위시 - 정규 1집 Ode to Love (Package Ver.)[2종 세트],,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=388733446,https://image.aladin.co.kr/product/38873/34/cover500/c592939903_0.jpg,6,↓1
2026-04-13 17:51,8,무례한 세상에서 나를 지키는 법,"발타사르 그라시안, 하와이 대저택",논픽션,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=388169547,https://image.aladin.co.kr/product/38816/95/cover500/k382137182_1.jpg,9,↑1
2026-04-13 17:51,9,이지패스 2026 ADsP 데이터분석 준전문가 (수험서 앱 제공),"전용문, 박현민",위키북스,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=379450520,https://image.aladin.co.kr/product/37945/5/cover500/k852033455_1.jpg,8,↓1
2026-04-13 17:51,10,"The Daily Stoic: 366 Meditations on Wisdom, Perseverance, and the Art of Living (Hardcover)","라이언 홀리데이, 스티븐 핸슬먼",Portfolio,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=78358635,https://image.aladin.co.kr/product/7835/86/cover500/0735211736_1.jpg,10,-
2026-04-13 17:51,11,악뮤 (AKMU) - 정규 4집 개화,,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=390030153,https://image.aladin.co.kr/product/39003/1/cover500/c002939108_1.jpg,11,-
2026-04-13 17:51,12,비실비실 선생님 12,후쿠치 카미오,대원씨아이(만화),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=390583412,https://image.aladin.co.kr/product/39058/34/cover500/k582137644_1.jpg,12,-
